communities,site,coral_sp_1,coral_sp_2,coral_sp_3,coral_sp_4,coral_sp_5,coral_sp_6,coral_sp_7,coral_sp_8,coral_sp_9,coral_sp_10,coral_sp_11,coral_sp_12,algae_fg_1,algae_fg_2,algae_fg_3,algae_fg_4,algae_fg_5,algae_fg_6,substrate
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,experiment,Anacropora_puertogalerae,Pavona_decussata,Acropora_plumosa,Porites_okinawensis,Acropora_aculeus,Pachyseris_involuta,Acropora_vaughani,Goniopora_albiconus,Australophyllia_wilsoni,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,experiment,Montipora_saudii,Porites_randalli,Acropora_pectinata,Acropora_samoensis,Montipora_aspergillus,Turbinaria_mesenterina,Turbinaria_heronensis,Acropora_minuta,Acropora_abrotanoides,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,experiment,Montipora_stellata,Porites_bernardi,Acropora_derawanensis,Acropora_retusa,Pectinia_pygmaea,Montipora_verrilli,Turbinaria_crater,Echinophyllia_aspera,Acropora_palmerae,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,experiment,Pocillopora_elegans,Montipora_millepora,Pavona_danai,Acropora_plantaginea,Acropora_acuminata,Psammocora_interstinctus,Leptoseris_foliosa,Oxypora_lacera,Goniopora_norfolkensis,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,experiment,Astreopora_randalli,Astreopora_scabra,Montipora_cebuensis,Montipora_hispida,Montipora_informis,Pocillopora_fungiformis,Porites_arnaudi,Porites_somaliensis,Scapophyllia_cylindrica,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,experiment,Montipora_hirsuta,Mycedium_steeni,Alveopora_catalai,Orbicella_annularis,Stylophora_pistillata,Pectinia_paeonia,Acropora_florida,Coeloseris_mayeri,Acropora_elegantula,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,experiment,Montipora_pachytuberculata,Montipora_cryptus,Acropora_parapharaonis,Porites_solida,Acropora_pectinata,Australophyllia_wilsoni,Echinophyllia_costata,Acropora_aspera,Leptoseris_papyracea,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,experiment,Anacropora_pillai,Montipora_hoffmeisteri,Acropora_rufa,Caulastraea_furcata,Goniopora_albiconus,Merulina_triangularis,Leptoseris_hawaiiensis,Acropora_echinata,Acropora_pharaonis,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,experiment,Anacropora_spumosa,Montipora_incrassata,Porites_lobata,Acropora_indonesia,Acropora_teres,Lobophyllia_radians,Echinophyllia_echinata,Orbicella_franksi,Acropora_horrida,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,experiment,Montipora_aspergillus,Acropora_downingi,Alveopora_ocellata,Acropora_walindii,Acropora_papillare,Goniopora_cellulosa,Astrea_annuligera,Pavona_explanulata,Acropora_multiacuta,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,experiment,Anacropora_matthai,Goniastrea_ramosa,Acropora_abrolhosensis,Galaxea_fascicularis,Acropora_rudis,Pectinia_maxima,Lobophyllia_corymbosa,Acropora_cervicornis,Pavona_venosa,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,experiment,Montipora_spongiosa,Acropora_insignis,Pavona_chiriquiensis,Acropora_vaughani,Acropora_granulosa,Leptoseris_amitoriensis,Acropora_microphthalma,Acropora_minuta,Echinopora_grandicula,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,experiment,Acropora_tenella,Montipora_verruculosa,Montipora_capricornis,Astreopora_expansa,Acropora_japonica,Montipora_crassituberculata,Goniopora_lobata,Pocillopora_fungiformis,Montipora_cebuensis,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,experiment,Madracis_formosa,Alveopora_japonica,Montipora_hemispherica,Stephanocoenia_intersepta,Psammocora_digitata,Balanophyllia_europaea,Madracis_kirbyi,Favites_abdita,Acropora_paragemmifera,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,experiment,Porites_harrisoni,Alveopora_minuta,Alveopora_viridis,Acropora_aculeus,Acropora_latistella,Cladocora_caespitosa,Manicina_areolata,Astrea_curta,Euphyllia_paraglabrescens,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,experiment,Stylocoeniella_guentheri,Favia_fragum,Alveopora_spongiosa,Cyphastrea_serailia,Acropora_desalwii,Isophyllia_rigida,Goniopora_stokesi,Acropora_polystoma,Leptastrea_purpurea,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,experiment,Porites_echinulata,Porites_brighami,Montipora_orientalis,Diploria_labyrinthiformis,Acropora_sarmentosa,Montipora_friabilis,Porites_astreoides,Acropora_granulosa,Favites_rotundata,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,experiment,Porites_napopora,Montipora_vietnamensis,Cyphastrea_japonica,Psammocora_contigua,Siderastrea_radians,Alveopora_marionensis,Stylophora_mamillata,Goniopora_sultani,Zoopilus_echinatus,Turbinaria_radicalis,Turbinaria_reniformis,Turbinaria_stellulata,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,experiment,Porites_aranetai,Montipora_mactanensis,Psammocora_profundacella,Montipora_dilatata,Favia_gravida,Acropora_microclados,Montipora_capricornis,Isopora_cuneata,Euphyllia_ancora,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,experiment,Montipora_circumvallata,Siderastrea_savignyana,Mycedium_steeni,Acropora_suharsonoi,Porites_horizontalata,Astreopora_randalli,Mussismilia_hispida,Pectinia_alcicornis,Plerogyra_diabolotus,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,experiment,Blastomussa_omanensis,Coscinaraea_columna,Dipsastraea_amicorum,Gardineroseris_planulata,Heterocyathus_aequicostatus,Paragoniastrea_deformis,Platygyra_acuta,Platygyra_verweyi,Podabacia_crustacea,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,experiment,Madracis_formosa,Montipora_patula,Favites_abdita,Balanophyllia_europaea,Acropora_polystoma,Madracis_carmabi,Porites_colonensis,Cyphastrea_ocellina,Euphyllia_paraglabrescens,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,experiment,Favia_fragum,Montipora_capricornis,Stephanocoenia_intersepta,Goniopora_stokesi,Hydnophora_pilosa,Porites_pukoensis,Simplastrea_vesicularis,Porites_decasepta,Euphyllia_paradivisa,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,experiment,Porites_echinulata,Isophyllia_sinuosa,Cyphastrea_serailia,Acropora_granulosa,Leptastrea_purpurea,Montipora_friabilis,Euphyllia_glabrescens,Euphyllia_cristata,Mycedium_robokaki,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,experiment,Isophyllia_rigida,Diploria_labyrinthiformis,Madracis_decactis,Acropora_paragemmifera,Porites_harrisoni,Porites_studeri,Montigyra_kenti,Mycetophyllia_ferox,Caulastraea_connata,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,experiment,Alveopora_japonica,Montipora_delicatula,Astrea_curta,Acropora_eurystoma,Porites_nodifera,Agaricia_fragilis,Madracis_kirbyi,Ctenella_chagius,Pectinia_crassa,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,experiment,Porites_brighami,Cladocora_caespitosa,Mycetophyllia_lamarckiana,Goniopora_djiboutiensis,Alveopora_daedalea,Siderastrea_stellata,Helioseris_cucullata,Mycedium_elephantotus,Euphyllia_ancora,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,experiment,Pseudosiderastrea_tayamai,Psammocora_profundacella,Porites_napopora,Goniopora_lobata,Agaricia_humilis,Alveopora_marionensis,Mycetophyllia_reesi,Echinophyllia_aspera,Favites_rotundata,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,experiment,Acanthastrea_brevis,Acanthastrea_subechinata,Astrangia_poculata,Coscinaraea_columna,Dipsastraea_amicorum,Favites_acuticollis,Favites_spinosa,Goniastrea_thecata,Paragoniastrea_deformis,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,experiment,Psammocora_digitata,Balanophyllia_europaea,Alveopora_spongiosa,Stephanocoenia_intersepta,Cynarina_macassarensis,Favites_abdita,Acropora_pharaonis,Acropora_paragemmifera,Fungia_fungites,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,experiment,Acropora_desalwii,Isophyllia_rigida,Alveopora_viridis,Cladocora_caespitosa,Cycloseris_distorta,Acropora_granulosa,Goniopora_sultani,Pachyseris_speciosa,Pleuractis_gravis,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,experiment,Psammocora_contigua,Manicina_areolata,Diploria_labyrinthiformis,Acropora_aculeus,Cantharellus_doederleini,Dendrogyra_cylindrus,Leptastrea_purpurea,Acropora_polystoma,Polyphyllia_novaehiberniae,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,experiment,Cyphastrea_chalcidicum,Acropora_bushyensis,Homophyllia_australis,Acropora_appressa,Meandrina_meandrites,Montipora_friabilis,Astrea_curta,Pavona_maldivensis,Polyphyllia_talpina,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,experiment,Montipora_niugini,Cycloseris_mokai,Montipora_malampaya,Acropora_mirabilis,Montipora_capricornis,Goniastrea_favulus,Cycloseris_costulata,Acropora_eurystoma,Pleuractis_taiwanensis,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,experiment,Acropora_loripes,Mycetophyllia_aliciae,Montipora_mactanensis,Acropora_verweyi,Astreopora_randalli,Favites_vasta,Mycedium_steeni,Lithophyllon_spinifer,Pectinia_crassa,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,experiment,Cycloseris_hexagonalis,Montipora_corbettensis,Pseudodiploria_clivosa,Acropora_tenuis,Leptoseris_striata,Goniopora_djiboutiensis,Plerogyra_cauliformis,Mycedium_elephantotus,Ctenactis_albitentaculata,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,experiment,Acanthastrea_echinata,Acanthastrea_hemprichi,Gardineroseris_planulata,Goniastrea_stelligera,Lobophyllia_rowleyensis,Oculina_tenella,Paramontastraea_peresi,Platygyra_contorta,Platygyra_crosslandi,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,experiment,Madracis_carmabi,Balanophyllia_europaea,Goniopora_columna,Favites_abdita,Acropora_granulosa,Cynarina_macassarensis,Agaricia_lamarcki,Cantharellus_noumeae,Lithophyllon_ranjithi,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,experiment,Acropora_pharaonis,Isophyllia_rigida,Acropora_polystoma,Stephanocoenia_intersepta,Cycloseris_distorta,Galaxea_longisepta,Porites_decasepta,Podabacia_kunzmanni,Herpolitha_limax,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,experiment,Manicina_areolata,Goniopora_lobata,Leptastrea_purpurea,Homophyllia_australis,Acropora_eurystoma,Mycetophyllia_lamarckiana,Euphyllia_paraglabrescens,Pectinia_paeonia,Polyphyllia_novaehiberniae,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,experiment,Agaricia_fragilis,Hydnophora_bonsai,Astrea_curta,Cantharellus_doederleini,Acropora_paragemmifera,Fungia_fungites,Agaricia_humilis,Pectinia_crassa,Pleuractis_gravis,Turbinaria_reniformis,Turbinaria_stellulata,Zoopilus_echinatus,Macroalgae,Turf,CCA,AMA,ACA,Halimeda,sand
alive,experiment,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,999,999,999,7.5,7.5,7.5,999,999,999,999
bleached,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dead,experiment,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
